Boise ID,-1
Boston MA,-1
Fort Lauderdale FL,-1
Hancock/Houghton MI,-1
Helena MT,-1
Indianapolis IN,-1
Jacksonville FL,-1
Elko NV,-1
Grand Forks ND,-1
Dubuque IA,-1
Sun Valley/Hailey/Ketchum ID,-1
Springfield MO,-1
South Bend IN,-1
Santa Barbara CA,-1
Santa Fe NM,-1
Saginaw/Bay City/Midland MI,-1
Oakland CA,-1
Oxnard/Ventura CA,-1
Greer SC,-1
Lewiston ID,-1
Lubbock TX,-1
Montrose/Delta CO,-1
San Jose CA,-1
Victoria TX,-1
West Palm Beach/Palm Beach FL,-1
Mission/McAllen/Edinburg TX,-2
Memphis TN,-2
Madison WI,-2
Pensacola FL,-2
Denver CO,-2
Honolulu HI,-2
Greensboro/High Point NC,-2
Albuquerque NM,-2
Cody WY,-2
Fayetteville NC,-3
San Angelo TX,-3
Raleigh/Durham NC,-3
San Francisco CA,-3
San Diego CA,-4
Syracuse NY,-4
Tampa FL,-4
Seattle WA,-7
Philadelphia PA,-7
Monterey CA,-7
Baltimore MD,-7
Charleston/Dunbar WV,-9
Arcata/Eureka CA,-10
Detroit MI,-11
Macon GA,-11
Little Rock AR,-12
Phoenix AZ,-16
Alexandria LA,-19
Augusta GA,-19
Allentown/Bethlehem/Easton PA,-20
Charlotte NC,-26
Florence SC,-26
Albany GA,-27
Chicago IL,-38
Atlanta GA,-636
